,cardname,text,cmc,mana,type,Type
1196,Mana Drain,"Counter target spell. At the beginning of your next main phase, add an amount of {C} equal to that spell's mana value.",2,{U}{U},Instant,
1197,Mana Matrix,Instant and enchantment spells you cast cost up to {2} less to cast.,6,{6},Artifact,
1198,Marble Priest,"All Walls able to block Marble Priest do so.
Prevent all combat damage that would be dealt to Marble Priest by Walls.",5,{5},Artifact Creature - Cleric,
1199,Marhault Elsdragon,"Rampage 1 (Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)",6,{3}{R}{R}{G},Legendary Creature - Elf Warrior,
1200,Master of the Hunt,"{2}{G}{G}: Create a 1/1 green Wolf creature token named Wolves of the Hunt. It has ""bands with other creatures named Wolves of the Hunt."" (Any creatures named Wolves of the Hunt can attack in a band as long as at least one has ""bands with other creatures named Wolves of the Hunt."" Bands are blocked as a group. If at least two creatures named Wolves of the Hunt you control, one of which has ""bands with other creatures named Wolves of the Hunt,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",4,{2}{G}{G},Creature - Human,
1201,Mirror Universe,"{T}, Sacrifice Mirror Universe: Exchange life totals with target opponent. Activate only during your upkeep.",6,{6},Artifact,
1202,Moat,Creatures without flying can't attack.,4,{2}{W}{W},Enchantment,
1203,Mold Demon,"When Mold Demon enters the battlefield, sacrifice it unless you sacrifice two Swamps.",7,{5}{B}{B},Creature - Fungus Demon,
1204,Moss Monster,,5,{3}{G}{G},Creature - Elemental,
1205,Mountain Stronghold,"Red legendary creatures you control have ""bands with other legendary creatures."" (Any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" Bands are blocked as a group. If at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",0,,Land,
1206,Mountain Yeti,"Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Protection from white",4,{2}{R}{R},Creature - Yeti,
1382,Amnesia,Target player reveals their hand and discards all nonland cards.,6,{3}{U}{U}{U},Sorcery,
1383,Angry Mob,"Trample
As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.",4,{2}{W}{W},Creature - Human,
1384,Apprentice Wizard,"{U}, {T}: Add {C}{C}{C}.",3,{1}{U}{U},Creature - Human Wizard,
1385,Ashes to Ashes,Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.,3,{1}{B}{B},Sorcery,
1386,Ball Lightning,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning.",3,{R}{R}{R},Creature - Elemental,
1387,Banshee,"{X}, {T}: Banshee deals half X damage, rounded down, to any target, and half X damage, rounded up, to you.",4,{2}{B}{B},Creature - Spirit,
1388,Barl's Cage,{3}: Target creature doesn't untap during its controller's next untap step.,4,{4},Artifact,
1389,Blood Moon,Nonbasic lands are Mountains.,3,{2}{R},Enchantment,
1390,Blood of the Martyr,"Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead.",3,{W}{W}{W},Instant,
1391,Bog Imp,Flying (This creature can't be blocked except by creatures with flying or reach.),2,{1}{B},Creature - Imp,
1392,Bog Rats,Bog Rats can't be blocked by Walls.,1,{B},Creature - Rat,
1393,Bone Flute,"{2}, {T}: All creatures get -1/-0 until end of turn.",3,{3},Artifact,
1394,Book of Rass,"{2}, Pay 2 life: Draw a card.",6,{6},Artifact,
1395,Brainwash,"Enchant creature
Enchanted creature can't attack unless its controller pays {3}.",1,{W},Enchantment - Aura,
1396,Brothers of Fire,{1}{R}{R}: Brothers of Fire deals 1 damage to any target and 1 damage to you.,3,{1}{R}{R},Creature - Human Shaman,
1397,Carnivorous Plant,Defender,4,{3}{G},Creature - Plant Wall,
1398,Cave People,"Whenever Cave People attacks, it gets +1/-2 until end of turn.
{1}{R}{R}, {T}: Target creature gains mountainwalk until end of turn. (It can't be blocked as long as defending player controls a Mountain.)",3,{1}{R}{R},Creature - Human,
1399,City of Shadows,"{T}, Exile a creature you control: Put a storage counter on City of Shadows.
{T}: Add {C} for each storage counter on City of Shadows.",0,,Land,
1400,Cleansing,"For each land, destroy that land unless any player pays 1 life.",3,{W}{W}{W},Sorcery,
1401,Coal Golem,"{3}, Sacrifice Coal Golem: Add {R}{R}{R}.",5,{5},Artifact Creature - Golem,
1402,Curse Artifact,"Enchant artifact
At the beginning of the upkeep of enchanted artifact's controller, Curse Artifact deals 2 damage to that player unless they sacrifice that artifact.",4,{2}{B}{B},Enchantment - Aura,
1403,Dance of Many,"When Dance of Many enters the battlefield, create a token that's a copy of target nontoken creature.
When Dance of Many leaves the battlefield, exile the token.
When the token leaves the battlefield, sacrifice Dance of Many.
At the beginning of your upkeep, sacrifice Dance of Many unless you pay {U}{U}.",2,{U}{U},Enchantment,
1404,Dark Heart of the Wood,Sacrifice a Forest: You gain 3 life.,2,{B}{G},Enchantment,
1405,Dark Sphere,"{T}, Sacrifice Dark Sphere: The next time a source of your choice would deal damage to you this turn, prevent half that damage, rounded down.",0,{0},Artifact,
1406,Deep Water,"{U}: Until end of turn, if you tap a land you control for mana, it produces {U} instead of any other type.",2,{U}{U},Enchantment,
1407,Diabolic Machine,{3}: Regenerate Diabolic Machine.,7,{7},Artifact Creature - Construct,
1408,Drowned,{B}: Regenerate Drowned.,2,{1}{U},Creature - Zombie,
1409,Dust to Dust,Exile two target artifacts.,3,{1}{W}{W},Sorcery,
1410,Eater of the Dead,"{0}: If Eater of the Dead is tapped, exile target creature card from a graveyard and untap Eater of the Dead.",5,{4}{B},Creature - Horror,
1411,Electric Eel,"When Electric Eel enters the battlefield, it deals 1 damage to you.
{R}{R}: Electric Eel gets +2/+0 until end of turn and deals 1 damage to you.",1,{U},Creature - Fish,
1412,Elves of Deep Shadow,{T}: Add {B}. Elves of Deep Shadow deals 1 damage to you.,1,{G},Creature - Elf Druid,
1413,Erosion,"Enchant land
At the beginning of the upkeep of enchanted land's controller, destroy that land unless that player pays {1} or 1 life.",3,{U}{U}{U},Enchantment - Aura,
1414,Eternal Flame,"Eternal Flame deals X damage to target opponent or planeswalker and half X damage, rounded up, to you, where X is the number of Mountains you control.",4,{2}{R}{R},Sorcery,
1415,Exorcist,"{1}{W}, {T}: Destroy target black creature.",2,{W}{W},Creature - Human Cleric,
1416,Fasting,"At the beginning of your upkeep, put a hunger counter on Fasting. Then destroy Fasting if it has five or more hunger counters on it.
If you would begin your draw step, you may skip that step instead. If you do, you gain 2 life.
When you draw a card, destroy Fasting.",1,{W},Enchantment,
1417,Fellwar Stone,{T}: Add one mana of any color that a land an opponent controls could produce.,2,{2},Artifact,
1418,Festival,"Cast this spell only during an opponent's upkeep.
Creatures can't attack this turn.",1,{W},Instant,
1419,Fire and Brimstone,Fire and Brimstone deals 4 damage to target player who attacked this turn and 4 damage to you.,5,{3}{W}{W},Instant,
1420,Fire Drake,"Flying
{R}: Fire Drake gets +1/+0 until end of turn. Activate only once each turn.",3,{1}{R}{R},Creature - Drake,
1421,Fissure,Destroy target creature or land. It can't be regenerated.,5,{3}{R}{R},Instant,
1422,Flood,{U}{U}: Tap target creature without flying.,1,{U},Enchantment,
1423,Fountain of Youth,"{2}, {T}: You gain 1 life.",0,{0},Artifact,
1424,Frankenstein's Monster,"As Frankenstein's Monster enters the battlefield, exile X creature cards from your graveyard. If you can't, put Frankenstein's Monster into its owner's graveyard instead of onto the battlefield. For each creature card exiled this way, Frankenstein's Monster enters the battlefield with a +2/+0, +1/+1, or +0/+2 counter on it.",2,{X}{B}{B},Creature - Zombie,
1425,Gaea's Touch,"{0}: You may put a basic Forest card from your hand onto the battlefield. Activate only as a sorcery and only once each turn.
Sacrifice Gaea's Touch: Add {G}{G}.",2,{G}{G},Enchantment,
1426,Ghost Ship,"Flying
{U}{U}{U}: Regenerate Ghost Ship.",4,{2}{U}{U},Creature - Spirit,
1427,Giant Shark,"Giant Shark can't attack unless defending player controls an Island.
Whenever Giant Shark blocks or becomes blocked by a creature that has been dealt damage this turn, Giant Shark gets +2/+0 and gains trample until end of turn.
When you control no Islands, sacrifice Giant Shark.",6,{5}{U},Creature - Shark,
1428,Goblin Caves,"Enchant land
As long as enchanted land is a basic Mountain, Goblin creatures get +0/+2.",3,{1}{R}{R},Enchantment - Aura,
1429,Goblin Digging Team,"{T}, Sacrifice Goblin Digging Team: Destroy target Wall.",1,{R},Creature - Goblin,
1430,Goblin Hero,,3,{2}{R},Creature - Goblin,
1431,Goblin Rock Sled,"Trample
Goblin Rock Sled doesn't untap during your untap step if it attacked during your last turn.
Goblin Rock Sled can't attack unless defending player controls a Mountain.",2,{1}{R},Creature - Goblin,
1432,Goblin Shrine,"Enchant land
As long as enchanted land is a basic Mountain, Goblin creatures get +1/+0.
When Goblin Shrine leaves the battlefield, it deals 1 damage to each Goblin creature.",3,{1}{R}{R},Enchantment - Aura,
1433,Goblins of the Flarg,"Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
When you control a Dwarf, sacrifice Goblins of the Flarg.",1,{R},Creature - Goblin Warrior,
1434,Goblin Wizard,"{T}: You may put a Goblin permanent card from your hand onto the battlefield.
{R}: Target Goblin gains protection from white until end of turn.",4,{2}{R}{R},Creature - Goblin Wizard,
1435,Grave Robbers,"{B}, {T}: Exile target artifact card from a graveyard. You gain 2 life.",3,{1}{B}{B},Creature - Human Rogue,
1436,Hidden Path,Green creatures have forestwalk. (They can't be blocked as long as defending player controls a Forest.),6,{2}{G}{G}{G}{G},Enchantment,
1437,Holy Light,Nonwhite creatures get -1/-1 until end of turn.,3,{2}{W},Instant,
1438,Inferno,Inferno deals 6 damage to each creature and each player.,7,{5}{R}{R},Instant,
1439,Inquisition,Target player reveals their hand. Inquisition deals damage to that player equal to the number of white cards in their hand.,3,{2}{B},Sorcery,
1440,Knights of Thorn,"Protection from red; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",4,{3}{W},Creature - Human Knight,
1441,Land Leeches,First strike,3,{1}{G}{G},Creature - Leech,
1442,Leviathan,"Trample
Leviathan enters the battlefield tapped and doesn't untap during your untap step.
At the beginning of your upkeep, you may sacrifice two Islands. If you do, untap Leviathan.
Leviathan can't attack unless you sacrifice two Islands. (This cost is paid as attackers are declared.)",9,{5}{U}{U}{U}{U},Creature - Leviathan,
1443,Living Armor,"{T}, Sacrifice Living Armor: Put X +0/+1 counters on target creature, where X is that creature's mana value.",4,{4},Artifact,
1444,Lurker,Lurker can't be the target of spells unless it attacked or blocked this turn.,3,{2}{G},Creature - Beast,
1445,Mana Clash,You and target opponent each flip a coin. Mana Clash deals 1 damage to each player whose coin comes up tails. Repeat this process until both players' coins come up heads on the same flip.,1,{R},Sorcery,
1446,Mana Vortex,"When you cast this spell, counter it unless you sacrifice a land.
At the beginning of each player's upkeep, that player sacrifices a land.
When there are no lands on the battlefield, sacrifice Mana Vortex.",3,{1}{U}{U},Enchantment,
1447,Marsh Gas,All creatures get -2/-0 until end of turn.,1,{B},Instant,
1448,Marsh Goblins,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),2,{B}{R},Creature - Goblin,
1449,Marsh Viper,"Whenever Marsh Viper deals damage to a player, that player gets two poison counters. (A player with ten or more poison counters loses the game.)",4,{3}{G},Creature - Snake,
1450,Martyr's Cry,"Exile all white creatures. For each creature exiled this way, its controller draws a card.",2,{W}{W},Sorcery,
1451,Maze of Ith,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.,0,,Land,
1452,Merfolk Assassin,{T}: Destroy target creature with islandwalk.,2,{U}{U},Creature - Merfolk Assassin,
1453,Mind Bomb,Each player may discard up to three cards. Mind Bomb deals damage to each player equal to 3 minus the number of cards they discarded this way.,1,{U},Sorcery,
1454,Miracle Worker,{T}: Destroy target Aura attached to a creature you control.,1,{W},Creature - Human Cleric,
1455,Morale,Attacking creatures get +1/+1 until end of turn.,3,{1}{W}{W},Instant,
1456,Murk Dwellers,"Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat.",4,{3}{B},Creature - Zombie,
1457,Nameless Race,"Trample
As Nameless Race enters the battlefield, pay any amount of life. The amount you pay can't be more than the total number of white nontoken permanents your opponents control plus the total number of white cards in their graveyards.
Nameless Race's power and toughness are each equal to the life paid as it entered the battlefield.",4,{3}{B},Creature,
1458,Necropolis,"Defender (This creature can't attack.)
Exile a creature card from your graveyard: Put X +0/+1 counters on Necropolis, where X is the exiled card's mana value.",5,{5},Artifact Creature - Wall,
1459,Niall Silvain,"{G}{G}{G}{G}, {T}: Regenerate target creature.",3,{G}{G}{G},Creature - Ouphe,
1460,Orc General,"{T}, Sacrifice another Orc or Goblin: Other Orc creatures get +1/+1 until end of turn.",3,{2}{R},Creature - Orc Warrior,
1461,People of the Woods,People of the Woods's toughness is equal to the number of Forests you control.,2,{G}{G},Creature - Human,
1462,Pikemen,"First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",2,{1}{W},Creature - Human Soldier,
1463,Preacher,"You may choose not to untap Preacher during your untap step.
{T}: For as long as Preacher remains tapped, gain control of target creature of an opponent's choice they control.",3,{1}{W}{W},Creature - Human Cleric,
1464,Psychic Allergy,"As Psychic Allergy enters the battlefield, choose a color.
At the beginning of each opponent's upkeep, Psychic Allergy deals X damage to that player, where X is the number of nontoken permanents of the chosen color they control.
At the beginning of your upkeep, destroy Psychic Allergy unless you sacrifice two Islands.",5,{3}{U}{U},Enchantment,
1465,Rag Man,"{B}{B}{B}, {T}: Target opponent reveals their hand and discards a creature card at random. Activate only during your turn.",4,{2}{B}{B},Creature - Human Minion,
1466,Reflecting Mirror,"{X}, {T}: Change the target of target spell with a single target if that target is you. The new target must be a player. X is twice the mana value of that spell.",4,{4},Artifact,
1467,Riptide,Tap all blue creatures.,1,{U},Instant,
1468,Runesword,"{3}, {T}: Target attacking creature gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, sacrifice Runesword. If the creature deals damage to a creature this turn, the creature dealt damage can't be regenerated this turn. If a creature dealt damage by the targeted creature would die this turn, exile that creature instead.",6,{6},Artifact,
1469,Safe Haven,"{2}, {T}: Exile target creature you control.
At the beginning of your upkeep, you may sacrifice Safe Haven. If you do, return each card exiled with Safe Haven to the battlefield under its owner's control.",0,,Land,
1470,Savaen Elves,"{G}{G}, {T}: Destroy target Aura attached to a land.",1,{G},Creature - Elf,
1471,Scarecrow,"{6}, {T}: Prevent all damage that would be dealt to you this turn by creatures with flying.",5,{5},Artifact Creature - Scarecrow,
1472,Scarwood Bandits,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
{2}{G}, {T}: Unless an opponent pays {2}, gain control of target artifact for as long as Scarwood Bandits remains on the battlefield.",4,{2}{G}{G},Creature - Human Rogue,
1473,Scarwood Goblins,,2,{R}{G},Creature - Goblin,
1474,Scarwood Hag,"{G}{G}{G}{G}, {T}: Target creature gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.)
{T}: Target creature loses forestwalk until end of turn.",2,{1}{G},Creature - Hag,
1475,Scavenger Folk,"{G}, {T}, Sacrifice Scavenger Folk: Destroy target artifact.",1,{G},Creature - Human,
1476,Season of the Witch,"At the beginning of your upkeep, sacrifice Season of the Witch unless you pay 2 life.
At the beginning of the end step, destroy all untapped creatures that didn't attack this turn, except for creatures that couldn't attack.",3,{B}{B}{B},Enchantment,
1477,Sisters of the Flame,{T}: Add {R}.,3,{1}{R}{R},Creature - Human Shaman,
1478,Skull of Orm,"{5}, {T}: Return target enchantment card from your graveyard to your hand.",3,{3},Artifact,
1479,Sorrow's Path,"{T}: Choose two target blocking creatures an opponent controls. If each of those creatures could block all creatures that the other is blocking, remove both of them from combat. Each one then blocks all creatures the other was blocking.
Whenever Sorrow's Path becomes tapped, it deals 2 damage to you and each creature you control.",0,,Land,
1480,Spitting Slug,"Whenever Spitting Slug blocks or becomes blocked, you may pay {1}{G}. If you do, Spitting Slug gains first strike until end of turn. Otherwise, each creature blocking or blocked by Spitting Slug gains first strike until end of turn.",3,{1}{G}{G},Creature - Slug,
1481,Squire,,2,{1}{W},Creature - Human Soldier,
1482,Standing Stones,"{1}, {T}, Pay 1 life: Add one mana of any color.",3,{3},Artifact,
1483,Stone Calendar,Spells you cast cost up to {1} less to cast.,5,{5},Artifact,
1484,Sunken City,"At the beginning of your upkeep, sacrifice Sunken City unless you pay {U}{U}.
Blue creatures get +1/+1.",2,{U}{U},Enchantment,
1485,Tangle Kelp,"Enchant creature
When Tangle Kelp enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step if it attacked during its controller's last turn.",1,{U},Enchantment - Aura,
1486,The Fallen,"At the beginning of your upkeep, The Fallen deals 1 damage to each opponent and planeswalker it has dealt damage to this game.",4,{1}{B}{B}{B},Creature - Zombie,
1487,Tivadar's Crusade,Destroy all Goblins.,3,{1}{W}{W},Sorcery,
1488,Tormod's Crypt,"{T}, Sacrifice Tormod's Crypt: Exile target player's graveyard.",0,{0},Artifact,
1489,Tower of Coireall,{T}: Target creature can't be blocked by Walls this turn.,2,{2},Artifact,
1490,Tracker,"{G}{G}, {T}: Tracker deals damage equal to its power to target creature. That creature deals damage equal to its power to Tracker.",3,{2}{G},Creature - Human,
1491,Uncle Istvan,Prevent all damage that would be dealt to Uncle Istvan by creatures.,4,{1}{B}{B}{B},Creature - Human,
1492,Venom,"Enchant creature
Whenever enchanted creature blocks or becomes blocked by a non-Wall creature, destroy the other creature at end of combat.",3,{1}{G}{G},Enchantment - Aura,
1493,Wand of Ith,"{3}, {T}: Target player reveals a card at random from their hand. If it's a land card, that player discards it unless they pay 1 life. If it isn't a land card, the player discards it unless they pay life equal to its mana value. Activate only during your turn.",4,{4},Artifact,
1494,War Barge,"{3}: Target creature gains islandwalk until end of turn. When War Barge leaves the battlefield this turn, destroy that creature. A creature destroyed this way can't be regenerated. (A creature with islandwalk can't be blocked as long as defending player controls an Island.)",4,{4},Artifact,
1495,Water Wurm,Water Wurm gets +0/+1 as long as an opponent controls an Island.,1,{U},Creature - Wurm,
1496,Whippoorwill,"{G}{G}, {T}: Target creature can't be regenerated this turn. Damage that would be dealt to that creature this turn can't be prevented or dealt instead to another permanent or player. When the creature dies this turn, exile the creature.",1,{G},Creature - Bird,
1497,Witch Hunter,"{T}: Witch Hunter deals 1 damage to target player or planeswalker.
{1}{W}{W}, {T}: Return target creature an opponent controls to its owner's hand.",4,{2}{W}{W},Creature - Human Cleric,
1498,Word of Binding,Tap X target creatures.,2,{X}{B}{B},Sorcery,
1499,Worms of the Earth,"Players can't play lands.
Lands can't enter the battlefield.
At the beginning of each upkeep, any player may sacrifice two lands or have Worms of the Earth deal 5 damage to that player. If a player does either, destroy Worms of the Earth.",5,{2}{B}{B}{B},Enchantment,
1500,Wormwood Treefolk,"{G}{G}: Wormwood Treefolk gains forestwalk until end of turn and deals 2 damage to you. (It can't be blocked as long as defending player controls a Forest.)
{B}{B}: Wormwood Treefolk gains swampwalk until end of turn and deals 2 damage to you. (It can't be blocked as long as defending player controls a Swamp.)",5,{3}{G}{G},Creature - Treefolk,
1501,Aeolipile,"{1}, {T}, Sacrifice Aeolipile: It deals 2 damage to any target.",2,{2},Artifact,
1502,Armor Thrull,"{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.",3,{2}{B},Creature - Thrull,
1503,Balm of Restoration,"{1}, {T}, Sacrifice Balm of Restoration: Choose one -
• You gain 2 life.
• Prevent the next 2 damage that would be dealt to any target this turn.",2,{2},Artifact,
1504,Basal Thrull,"{T}, Sacrifice Basal Thrull: Add {B}{B}.",2,{B}{B},Creature - Thrull,
1505,Bottomless Vault,"Bottomless Vault enters the battlefield tapped.
You may choose not to untap Bottomless Vault during your untap step.
At the beginning of your upkeep, if Bottomless Vault is tapped, put a storage counter on it.
{T}, Remove any number of storage counters from Bottomless Vault: Add {B} for each storage counter removed this way.",0,,Land,
1506,Brassclaw Orcs,Brassclaw Orcs can't block creatures with power 2 or greater.,3,{2}{R},Creature - Orc,
1507,Breeding Pit,"At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.
At the beginning of your end step, create a 0/1 black Thrull creature token.",4,{3}{B},Enchantment,
1508,Combat Medic,{1}{W}: Prevent the next 1 damage that would be dealt to any target this turn.,3,{2}{W},Creature - Human Cleric Soldier,
1509,Conch Horn,"{1}, {T}, Sacrifice Conch Horn: Draw two cards, then put a card from your hand on top of your library.",2,{2},Artifact,
1510,Deep Spawn,"Trample
At the beginning of your upkeep, sacrifice Deep Spawn unless you mill two cards.
{U}: Deep Spawn gains shroud until end of turn and doesn't untap during your next untap step. Tap Deep Spawn. (A creature with shroud can't be the target of spells or abilities.)",8,{5}{U}{U}{U},Creature - Homarid,
1511,Delif's Cone,"{T}, Sacrifice Delif's Cone: This turn, when target creature you control attacks and isn't blocked, you may gain life equal to its power. If you do, it assigns no combat damage this turn.",0,{0},Artifact,
1512,Delif's Cube,"{2}, {T}: This turn, when target creature you control attacks and isn't blocked, it assigns no combat damage this turn and you put a cube counter on Delif's Cube.
{2}, Remove a cube counter from Delif's Cube: Regenerate target creature.",1,{1},Artifact,
1513,Derelor,Black spells you cast cost {B} more to cast.,4,{3}{B},Creature - Thrull,
1514,Draconian Cylix,"{2}, {T}, Discard a card at random: Regenerate target creature.",3,{3},Artifact,
1515,Dwarven Armorer,"{R}, {T}, Discard a card: Put a +0/+1 counter or a +1/+0 counter on target creature.",1,{R},Creature - Dwarf,
1516,Dwarven Catapult,"Dwarven Catapult deals X damage divided evenly, rounded down, among all creatures target opponent controls.",1,{X}{R},Instant,
1517,Dwarven Hold,"Dwarven Hold enters the battlefield tapped.
You may choose not to untap Dwarven Hold during your untap step.
At the beginning of your upkeep, if Dwarven Hold is tapped, put a storage counter on it.
{T}, Remove any number of storage counters from Dwarven Hold: Add {R} for each storage counter removed this way.",0,,Land,
1518,Dwarven Lieutenant,{1}{R}: Target Dwarf creature gets +1/+0 until end of turn.,2,{R}{R},Creature - Dwarf Soldier,
1519,Dwarven Ruins,"Dwarven Ruins enters the battlefield tapped.
{T}: Add {R}.
{T}, Sacrifice Dwarven Ruins: Add {R}{R}.",0,,Land,
1520,Dwarven Soldier,"Whenever Dwarven Soldier blocks or becomes blocked by one or more Orcs, Dwarven Soldier gets +0/+2 until end of turn.",2,{1}{R},Creature - Dwarf Soldier,
1521,Ebon Praetor,"First strike, trample
At the beginning of your upkeep, put a -2/-2 counter on Ebon Praetor.
Sacrifice a creature: Remove a -2/-2 counter from Ebon Praetor. If the sacrificed creature was a Thrull, put a +1/+0 counter on Ebon Praetor. Activate only during your upkeep and only once each turn.",6,{4}{B}{B},Creature - Avatar Praetor,
1522,Ebon Stronghold,"Ebon Stronghold enters the battlefield tapped.
{T}: Add {B}.
{T}, Sacrifice Ebon Stronghold: Add {B}{B}.",0,,Land,
1523,Elven Fortress,{1}{G}: Target blocking creature gets +0/+1 until end of turn.,1,{G},Enchantment,
1524,Elven Lyre,"{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn.",2,{2},Artifact,
1525,Elvish Farmer,"At the beginning of your upkeep, put a spore counter on Elvish Farmer.
Remove three spore counters from Elvish Farmer: Create a 1/1 green Saproling creature token.
Sacrifice a Saproling: You gain 2 life.",2,{1}{G},Creature - Elf,
1526,Elvish Hunter,"{1}{G}, {T}: Target creature doesn't untap during its controller's next untap step.",2,{1}{G},Creature - Elf Archer,
1527,Elvish Scout,"{G}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by it this turn.",1,{G},Creature - Elf Scout,
1528,Farrelite Priest,"{1}: Add {W}. If this ability has been activated four or more times this turn, sacrifice Farrelite Priest at the beginning of the next end step.",3,{1}{W}{W},Creature - Human Cleric,
1529,Farrel's Mantle,"Enchant creature
Whenever enchanted creature attacks and isn't blocked, its controller may have it deal damage equal to its power plus 2 to another target creature. If that player does, the attacking creature assigns no combat damage this turn.",3,{2}{W},Enchantment - Aura,
1530,Farrel's Zealot,"Whenever Farrel's Zealot attacks and isn't blocked, you may have it deal 3 damage to target creature. If you do, Farrel's Zealot assigns no combat damage this turn.",3,{1}{W}{W},Creature - Human,
1531,Feral Thallid,"At the beginning of your upkeep, put a spore counter on Feral Thallid.
Remove three spore counters from Feral Thallid: Regenerate Feral Thallid.",6,{3}{G}{G}{G},Creature - Fungus,
1532,Fungal Bloom,{G}{G}: Put a spore counter on target Fungus.,2,{G}{G},Enchantment,
1533,Goblin Chirurgeon,Sacrifice a Goblin: Regenerate target creature.,1,{R},Creature - Goblin Shaman,
1534,Goblin Flotilla,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)
At the beginning of each combat, unless you pay {R}, whenever Goblin Flotilla blocks or becomes blocked by a creature this combat, that creature gains first strike until end of turn.",3,{2}{R},Creature - Goblin,
1535,Goblin Grenade,"As an additional cost to cast this spell, sacrifice a Goblin.
Goblin Grenade deals 5 damage to any target.",1,{R},Sorcery,
1536,Goblin Kites,"{R}: Target creature you control with toughness 2 or less gains flying until end of turn. Flip a coin at the beginning of the next end step. If you lose the flip, sacrifice that creature.",2,{1}{R},Enchantment,
1537,Goblin War Drums,Creatures you control have menace. (They can't be blocked except by two or more creatures.),3,{2}{R},Enchantment,
1538,Goblin Warrens,"{2}{R}, Sacrifice two Goblins: Create three 1/1 red Goblin creature tokens.",3,{2}{R},Enchantment,
1539,Hand of Justice,"{T}, Tap three untapped white creatures you control: Destroy target creature.",6,{5}{W},Creature - Avatar,
1540,Havenwood Battleground,"Havenwood Battleground enters the battlefield tapped.
{T}: Add {G}.
{T}, Sacrifice Havenwood Battleground: Add {G}{G}.",0,,Land,
1541,Heroism,"Sacrifice a white creature: For each attacking red creature, prevent all combat damage that would be dealt by that creature this turn unless its controller pays {2}{R}.",3,{2}{W},Enchantment,
1542,High Tide,"Until end of turn, whenever a player taps an Island for mana, that player adds an additional {U}.",1,{U},Instant,
1543,Hollow Trees,"Hollow Trees enters the battlefield tapped.
You may choose not to untap Hollow Trees during your untap step.
At the beginning of your upkeep, if Hollow Trees is tapped, put a storage counter on it.
{T}, Remove any number of storage counters from Hollow Trees: Add {G} for each storage counter removed this way.",0,,Land,
1544,Homarid,"Homarid enters the battlefield with a tide counter on it.
At the beginning of your upkeep, put a tide counter on Homarid.
As long as there is exactly one tide counter on Homarid, it gets -1/-1.
As long as there are exactly three tide counters on Homarid, it gets +1/+1.
Whenever there are four or more tide counters on Homarid, remove all tide counters from it.",3,{2}{U},Creature - Homarid,
1545,Homarid Shaman,{U}: Tap target green creature.,4,{2}{U}{U},Creature - Homarid Shaman,
1546,Homarid Spawning Bed,"{1}{U}{U}, Sacrifice a blue creature: Create X 1/1 blue Camarid creature tokens, where X is the sacrificed creature's mana value.",2,{U}{U},Enchantment,
1547,Homarid Warrior,{U}: Homarid Warrior gains shroud until end of turn and doesn't untap during your next untap step. Tap Homarid Warrior. (A creature with shroud can't be the target of spells or abilities.),5,{4}{U},Creature - Homarid Warrior,
1548,Hymn to Tourach,Target player discards two cards at random.,2,{B}{B},Sorcery,
