,level_0,Card,Tags
2744,2744,Seething Anger,"['boost-power', 'sth-storyline-in-cards']"
2745,2745,Shaman en-Kor,"['creature type erratum', 'damage prevention-creature', 'damage prevention-self', 'damage redirection', 'delayed replacement effect', 'unique type line', 'damage prevention']"
2746,2746,Shard Phoenix,"['activate from graveyard', 'bombard-self', 'earthquake', 'evasion', 'martyr', 'regrowth-self', 'sweeper-creature-burn', 'bombard', 'burn', 'card advantage', 'recursion', 'regrowth', 'sacrifice outlet', 'sacrifice self', 'sweeper', 'sweeper-creature']"
2747,2747,Shifting Wall,"['counts as a type', 'creature type erratum', 'gains pp counters', 'sth-storyline-in-cards', 'virtual french vanilla', 'flavors of vanilla']"
2748,2748,Shock,"['hate-colored', 'mutual sacrifice', 'sweeper-permanent-sacrifice', 'hate-color', 'removal-sacrifice', 'sweeper', 'sweeper-artifact', 'sweeper-creature', 'sweeper-enchantment', 'sweeper-land', 'sweeper-permanent', 'sweeper-planeswalker']"
2749,2749,Sift,"['draw', 'loot', 'single english word name', 'sth-storyline-in-cards', 'blue effect', 'card advantage', 'card names', 'discard outlet']"
2750,2750,Silver Wyvern,"['change target', 'evasion']"
2751,2751,Skeleton Scavengers,"['alliteration', 'gains pp counters', 'mana sink', 'regenerates self', 'card names']"
2752,2752,Skyshroud Archer,"['creature type erratum', 'hate-flying', 'removal-creature-toughness', 'removal', 'removal-creature']"
2753,2753,Skyshroud Falcon,"['evasion', 'french vanilla', 'flavors of vanilla']"
2754,2754,Skyshroud Troopers,"['creature type erratum', 'ramp']"
2755,2755,Sliver Queen,"['counts as a type', 'creature type erratum', 'mana sink', 'repeatable token generator', 'sth-storyline-in-cards']"
2756,2756,Smite,"['removal-creature-destroy', 'single english word name', 'sth-storyline-in-cards', 'synergy-blocker', 'card names', 'removal', 'removal-creature']"
2757,2757,Soltari Champion,"['attack trigger', 'creature type erratum', 'evasion', 'power boost to all', 'synergy-attacker-self']"
2758,2758,Spike Breeder,"['gains pp counters', 'gives pp counters', 'pp counters matter', 'repeatable token generator', 'unprinted token', 'counters matter']"
2759,2759,Spike Colony,"['gains pp counters', 'gives pp counters', 'pp counters matter', 'counters matter']"
2760,2760,Spike Feeder,"['gains pp counters', 'gives pp counters', 'lifegain', 'pp counters matter', 'counters matter']"
2761,2761,Spike Soldier,"['alliteration', 'creature type erratum', 'creature type name', 'eponymous', 'gains pp counters', 'gives pp counters', 'pp counters matter', 'unique type line', 'card names', 'counters matter']"
2762,2762,Spike Worker,"['gains pp counters', 'gives pp counters', 'pp counters matter', 'counters matter']"
2763,2763,Spindrift Drake,"['drawback', 'evasion', 'upkeep cost']"
2764,2764,Spined Sliver,"['alliteration', 'block trigger', 'cycle-sth-allied-sliver', 'gives rampage', 'hate-blocker', 'rampage', 'sliver-stackable', 'tribal-sliver', 'card names', 'cycle', 'typal', 'typal-creature']"
2765,2765,Spirit en-Kor,"['creature type erratum', 'damage prevention-self', 'damage redirection', 'evasion', 'damage prevention']"
2766,2766,Spitting Hydra,"['gains pp counters', 'pinger', 'pp counters matter', 'removal-creature-burn', 'burn', 'counters matter', 'removal', 'removal-creature']"
2767,2767,Stronghold Assassin,"['creature type erratum', 'removal-creature-destroy', 'sacrifice outlet-creature', 'removal', 'removal-creature', 'sacrifice outlet']"
2768,2768,Stronghold Taskmaster,"['creature type erratum', 'hate-black', 'sweeper-creature-toughness', 'unique type line', 'hate-color', 'sweeper', 'sweeper-creature']"
2769,2769,Sword of the Chosen,"['shade pump', 'sth-storyline-in-cards', 'synergy-legendary']"
2770,2770,Temper,"['damage prevention', 'damage prevention-creature', 'gives pp counters', 'single english word name', 'sth-storyline-in-cards', 'vigor effect', 'card names']"
2771,2771,Tempting Licid,"['cycle-stronghold-licid', 'lure', 'special action', 'type change', 'combat manipulation', 'cycle', 'force blocker']"
2772,2772,Thalakos Deceiver,"['creature type erratum', 'evasion', 'martyr', 'synergy-attacker-self', 'theft-creature', 'unblocked trigger', 'control changing effects', 'sacrifice self', 'theft']"
2773,2773,Tidal Warrior,"['creature type erratum', 'land conversion', 'type change']"
2774,2774,Torment,"['tormenting voice', 'card advantage', 'discard outlet', 'red effect', 'rummage']"
2775,2775,Tortured Existence,"['discard outlet', 'discard outlet-creature', 'regrowth-creature', 'card advantage', 'recursion', 'recursion-creature', 'regrowth']"
2776,2776,Verdant Touch,"['animate land', 'animate', 'type change']"
2777,2777,Victual Sliver,"['cycle-sth-allied-sliver', 'lifegain', 'noncreature tribal', 'sacrifice outlet-creature', 'tribal-sliver', 'cycle', 'sacrifice outlet', 'typal', 'typal-creature']"
2778,2778,Volrath's Gardens,"['lifegain', 'namesake-spell', 'sth-storyline-in-cards', 'tap fuel-creature', 'card names']"
2779,2779,Volrath's Laboratory,"['mana sink', 'namesake-spell', 'repeatable token generator', 'unprinted token', 'card names']"
2780,2780,Volrath's Shapeshifter,"['color change-self', 'copy-creature', 'creature type erratum', 'discard outlet', 'graveyard order matters', 'mimic', 'namesake-spell', 'rules nightmare', 'sth-storyline-in-cards', 'text change', 'unique cr reference', 'card names', 'color change', 'copy']"
2781,2781,Volrath's Stronghold,"['cycle-restock-legendary-land', 'namesake-spell', 'restock-creature', 'supercycle-legendary-land', 'utility land', 'card names', 'cycle', 'cycle-colorless-land', 'cycle-land', 'recursion', 'restock']"
2782,2782,Walking Dream,"[""doesn't untap"", 'unblockable', 'evasion']"
2783,2783,Wall of Blossoms,"['cantrip', 'creature type erratum', 'cycle-stronghold-wall', 'virtual french vanilla', 'card advantage', 'cycle', 'draw', 'flavors of vanilla']"
2784,2784,Wall of Essence,"['cycle-m15-wall', 'cycle-stronghold-wall', 'enrage', 'lifegain', 'cycle']"
2785,2785,Wall of Razors,"['cycle-stronghold-wall', 'drawback', 'french vanilla', 'cycle', 'flavors of vanilla']"
2786,2786,Wall of Souls,"['burn player', 'cycle-stronghold-wall', 'enrage', 'removal-planeswalker-burn', 'spite damage', 'burn', 'cycle', 'removal', 'removal-planeswalker']"
2787,2787,Wall of Tears,"['block trigger', 'bounce', 'cycle-stronghold-wall', 'delayed triggered ability', 'removal-creature-bounce', 'synergy-blocker-self', 'cycle', 'removal', 'removal-creature']"
2788,2788,Warrior Angel,"['creature type erratum', 'eponymous', 'old lifelink', 'deprecated mechanics', 'lifegain']"
2789,2789,Warrior en-Kor,"['creature type erratum', 'damage prevention-self', 'damage redirection', 'unique type line', 'damage prevention']"
2790,2790,Youthful Knight,"['creature type erratum', 'french vanilla', 'flavors of vanilla']"
2791,2791,Aether Tide,"['discard hand', 'discard outlet', 'discard outlet-creature', 'exo-storyline-in-cards', 'removal-creature-bounce', 'removal', 'removal-creature']"
2792,2792,Allay,"['removal-enchantment-destroy', 'repeatable removal', 'single english word name', 'card names', 'removal', 'removal-enchantment']"
2793,2793,Anarchist,"['creature type erratum', 'cycle-exo-retriever', 'cycle-ody-retriever', 'regrowth-sorcery', 'single english word name', 'virtual vanilla', 'card advantage', 'card names', 'cycle', 'flavors of vanilla', 'recursion', 'recursion-sorcery', 'regrowth']"
2794,2794,Avenging Druid,"['consult-onto-battlefield', 'creature type erratum', 'inscryption achievement', 'mulch', 'ramp', 'card advantage', 'consult', 'mill', 'mill-self']"
2795,2795,Bequeathal,"['death trigger', 'draw', 'single english word name', 'card advantage', 'card names', 'leaves battlefield trigger']"
2796,2796,Carnophage,"['drawback', 'life payment', 'upkeep cost']"
2797,2797,Cartographer,"['creature type erratum', 'cycle-exo-retriever', 'cycle-ody-retriever', 'regrowth-land', 'single english word name', 'virtual vanilla', 'card advantage', 'card names', 'cycle', 'flavors of vanilla', 'recursion', 'recursion-land', 'regrowth']"
2798,2798,Cataclysm,"['exo-storyline-in-cards', 'single english word name', 'sweeper-artifact-sacrifice', 'sweeper-creature-sacrifice', 'sweeper-enchantment-sacrifice', 'sweeper-land-sacrifice', 'sweeper-permanent-sacrifice', 'symmetrical', 'card names', 'sweeper', 'sweeper-artifact', 'sweeper-creature', 'sweeper-enchantment', 'sweeper-land', 'sweeper-permanent', 'sweeper-planeswalker']"
2799,2799,Cat Burglar,"['creature type erratum', 'discard']"
2800,2800,Cinder Crawler,"['alliteration', 'firebreathing', 'hate-blocker', 'mana sink', 'card names']"
2801,2801,City of Traitors,"['adds multiple mana', 'drawback', 'ramp', 'sol land']"
2802,2802,Coat of Arms,"['quadratic', 'symmetrical', 'tribal-share', 'typal', 'typal-creature']"
2803,2803,Convalescence,"['exo-storyline-in-cards', 'lifegain', 'single english word name', 'card names']"
2804,2804,Crashing Boars,"['attack trigger', 'lure-limited', 'synergy-attacker-self', 'combat manipulation', 'force blocker']"
2805,2805,Culling the Weak,"['adds multiple mana', 'mana source (type)', 'ritual', 'sacrifice outlet-creature', 'deprecated card types', 'ramp', 'sacrifice outlet']"
2806,2806,Cunning,"['attack trigger', 'block trigger', 'delayed triggered ability', 'single english word name', 'triggers at cleanup step', 'card names']"
2807,2807,Curiosity,"['curiosity', 'exo-storyline-in-cards', 'repeatable draw', 'single english word name', 'card advantage', 'card names', 'draw', 'saboteur']"
2808,2808,Cursed Flesh,"['evasion', 'gives fear', 'removal-creature-toughness', 'gives-evasion', 'removal', 'removal-creature']"
2809,2809,Dauthi Cutthroat,"['creature type erratum', 'evasion', 'hate-set-mechanic', 'hate-shadow', 'removal-creature-destroy', 'removal', 'removal-creature']"
2810,2810,Dauthi Jackal,"['creature type erratum', 'eponymous', 'evasion', 'hate-blocker', 'martyr', 'removal-creature-destroy', 'unique type line', 'removal', 'removal-creature', 'sacrifice self']"
2811,2811,Dauthi Warlord,"['creature type erratum', 'evasion', 'synergy-shadow']"
2812,2812,Death's Duet,"['alliteration', 'regrowth-creature', 'card advantage', 'card names', 'recursion', 'recursion-creature', 'regrowth']"
2813,2813,Dizzying Gaze,"['hate-flying', 'pinger', 'removal-creature-burn', 'burn', 'removal', 'removal-creature']"
2814,2814,Dominating Licid,"['special action', 'theft-creature', 'type change', 'control changing effects', 'theft']"
2815,2815,Elven Palisade,"['free sacrifice outlet', 'hate-attacker', 'sacrifice outlet-land', 'synergy-forest', 'sacrifice outlet']"
2816,2816,Elvish Berserker,"['block trigger', 'creature type erratum', 'hate-blocker', 'rampage']"
2817,2817,Entropic Specter,"['aikido', 'creature type erratum', 'discard', 'evasion', 'faux targeting', 'hand size hate', 'maro', 'saboteur', 'unique type line', 'hand size matters']"
2818,2818,Ephemeron,"['bounce-self', 'discard outlet', 'evasion', 'single english word name', 'card names']"
2819,2819,Equilibrium,"['cast trigger-you', 'removal-creature-bounce', 'single english word name', 'card names', 'cast trigger', 'removal', 'removal-creature']"
2820,2820,Erratic Portal,"['bounce', 'exo-storyline-in-cards', 'removal-creature-bounce', 'rhystic', 'dilemma', 'removal', 'removal-creature']"
2821,2821,"Ertai, Wizard Adept","['counterspell-reusable', 'counts as a type', 'creature type erratum', 'blue effect', 'counterspell']"
2822,2822,Exalted Dragon,"['drawback', 'evasion', 'restricted attacker', 'sacrifice outlet-land', 'sacrifice outlet']"
2823,2823,Fade Away,"['ransom', 'removal-permanent-sacrifice', 'removal', 'removal-artifact', 'removal-battle', 'removal-creature', 'removal-enchantment', 'removal-land', 'removal-permanent', 'removal-planeswalker']"
2824,2824,Fighting Chance,"['coin flip', 'damage prevention', 'hate-blocker']"
2825,2825,Flowstone Flood,"['alliteration', 'discard outlet', 'discard outlet-random', 'life payment', 'removal-land-destroy', 'repeatable removal', 'card names', 'removal', 'removal-land']"
2826,2826,Forbid,"['counterspell', 'counterspell with set mechanic', 'discard outlet', 'interrupt', 'single english word name', 'blue effect', 'card names', 'deprecated card types']"
2827,2827,Fugue,"['discard', 'exo-storyline-in-cards', 'single english word name', 'card names']"
2828,2828,Furnace Brood,['stops regeneration']
2829,2829,Grollub,"['enrage', 'opponent lifegain']"
2830,2830,Hatred,"['boost-power', 'exo-storyline-in-cards', 'life payment', 'single english word name', 'card names']"
2831,2831,High Ground,"['block additional', 'synergy-blocker']"
2832,2832,Jackalope Herd,"['bounce-self', 'cast trigger-you', 'creature type erratum', 'cast trigger']"
2833,2833,Keeper of the Beasts,"['catch up', 'creature type erratum', 'cycle-exo-keeper', 'repeatable token generator', 'unprinted token', 'cycle']"
2834,2834,Keeper of the Dead,"['catch up', 'creature type erratum', 'cycle-exo-keeper', 'removal-creature-destroy', 'cycle', 'removal', 'removal-creature']"
2835,2835,Keeper of the Flame,"['burn player', 'catch up', 'creature type erratum', 'cycle-exo-keeper', 'pinger', 'burn', 'cycle']"
2836,2836,Keeper of the Light,"['catch up', 'creature type erratum', 'cycle-exo-keeper', 'lifegain', 'cycle']"
2837,2837,Keeper of the Mind,"['catch up', 'creature type erratum', 'cycle-exo-keeper', 'hand size hate', 'repeatable draw', 'card advantage', 'cycle', 'draw', 'hand size matters']"
2838,2838,Killer Whale,"['exo-storyline-in-cards', 'gains flying', 'jump', 'evasion']"
2839,2839,Kor Chant,"['damage prevention-creature', 'damage redirection', 'damage prevention']"
2840,2840,Mage il-Vec,"['burn any', 'creature type erratum', 'discard outlet', 'discard outlet-random', 'pinger', 'burn']"
2841,2841,Manabond,"['discard outlet', 'extra land', 'sneak-land', 'ramp']"
2842,2842,Mana Breach,"['cast trigger', 'removal-land-bounce', 'symmetrical', 'removal', 'removal-land']"
2843,2843,Maniacal Rage,"['exo-storyline-in-cards', 'prevent blocker']"
2844,2844,Medicine Bag,"['discard outlet', 'protects-creature', 'regenerates other', 'protects-permanent']"
2845,2845,Memory Crystal,['cost reducer']
2846,2846,Merfolk Looter,"['creature type erratum', 'loot', 'blue effect', 'card advantage', 'discard outlet']"
2847,2847,Mindless Automaton,"['creature type erratum', 'discard outlet', 'draw', 'gains pp counters', 'pp counters matter', 'card advantage', 'counters matter']"
2848,2848,Mind Maggots,"['alliteration', 'discard outlet', 'discard outlet-creature', 'gains pp counters', 'virtual vanilla', 'card names', 'flavors of vanilla']"
2849,2849,Mind Over Matter,"['alliteration', 'discard outlet', 'hate-artifact', 'ramp', 'synergy-artifact', 'tapper-artifact', 'tapper-creature', 'tapper-land', 'twiddle', 'unique mana cost', 'untapper-artifact', 'untapper-creature', 'untapper-land', 'card names', 'tapper', 'untapper']"
2850,2850,Mirozel,"['bounce-self', 'hate-target']"
2851,2851,"Mirri, Cat Warrior","['counts as a type', 'creature type erratum', 'evasion', 'french vanilla', 'flavors of vanilla']"
2852,2852,Mogg Assassin,"['coin flip', 'creature type erratum', 'opponent chooses', 'removal-creature-destroy', 'removal', 'removal-creature']"
2853,2853,Monstrous Hound,"['creature type erratum', 'drawback', 'lands matter', 'restricted attacker', 'restricted blocker']"
2854,2854,Nausea,"['single english word name', 'sweeper-creature-toughness', 'symmetrical', 'card names', 'sweeper', 'sweeper-creature']"
2855,2855,Necrologia,"['draw', 'life payment', 'card advantage']"
2856,2856,Null Brooch,"['counterspell-noncreature', 'counterspell-reusable', 'discard outlet', 'blue effect', 'counterspell']"
2857,2857,Oath of Druids,"['catch up', 'consult-onto-battlefield', 'cycle-exo-oath', 'mulch', 'symmetrical', 'card advantage', 'consult', 'cycle', 'mill', 'mill-self']"
2858,2858,Oath of Ghouls,"['catch up', 'cycle-exo-oath', 'regrowth-creature', 'symmetrical', 'card advantage', 'cycle', 'recursion', 'recursion-creature', 'regrowth']"
2859,2859,Oath of Lieges,"['catch up', 'cycle-exo-oath', 'exo-storyline-in-cards', 'ramp', 'symmetrical', 'tutor-land-basic', 'tutor-land-to-battlefield', 'cycle', 'tutor', 'tutor-land', 'tutor-to', 'tutor-to-battlefield']"
2860,2860,Oath of Mages,"['burn player', 'catch up', 'cycle-exo-oath', 'pinger', 'symmetrical', 'burn', 'cycle']"
2861,2861,Oath of Scholars,"['catch up', 'cycle-exo-oath', 'hand size hate', 'miniwheel', 'symmetrical', 'card advantage', 'cycle', 'hand size matters']"
2862,2862,Ogre Shaman,"['burn any', 'creature type erratum', 'discard outlet', 'discard outlet-random', 'eponymous', 'pinger', 'burn']"
2863,2863,Onslaught,"['cast trigger-you', 'exo-storyline-in-cards', 'shares name with a set', 'single english word name', 'tapper-creature', 'card names', 'cast trigger', 'tapper']"
2864,2864,Paladin en-Vec,"['creature type erratum', 'evasion', 'french vanilla', 'hate-black', 'hate-red', 'repeated keyword', 'flavors of vanilla', 'hate-color']"
2865,2865,Pandemonium,"['burn any', 'exo-storyline-in-cards', 'impact effect', 'single english word name', 'burn', 'card names']"
2866,2866,Paroxysm,"['removal-creature-destroy', 'single english word name', 'card names', 'removal', 'removal-creature']"
2867,2867,Peace of Mind,"['discard outlet', 'lifegain']"
2868,2868,Pegasus Stampede,"['sacrifice outlet-land', 'sacrifice outlet']"
2869,2869,Penance,"['damage prevention', 'hate-black', 'hate-red', 'single english word name', 'card names', 'hate-color']"
2870,2870,Pit Spawn,"['creature type erratum', 'drawback', 'exiletouch', 'upkeep cost']"
2871,2871,Plaguebearer,"['mana sink', 'removal-creature-destroy', 'removal', 'removal-creature']"
2872,2872,Plated Rootwalla,[]
2873,2873,Predatory Hunger,"['cast trigger-other', 'gives pp counters', 'mana gorger', 'cast trigger']"
2874,2874,Price of Progress,"['alliteration', 'burn player', 'hate-nonbasic-land', 'symmetrical', 'burn', 'card names']"
2875,2875,Pygmy Troll,"['block trigger', 'hate-blocker', 'rampage', 'regenerates self']"
2876,2876,Rabid Wolverines,"['block trigger', 'hate-blocker', 'rampage']"
2877,2877,Ravenous Baboons,"['creature type erratum', 'hate-nonbasic-land', 'removal-land-destroy', 'virtual vanilla', 'flavors of vanilla', 'removal', 'removal-land']"
2878,2878,Reaping the Rewards,"['alliteration', 'lifegain', 'sacrifice outlet-land', 'card names', 'sacrifice outlet']"
2879,2879,Reckless Ogre,"['attack trigger', 'synergy-attacker-self']"
2880,2880,Reclaim,"['restock', 'single english word name', 'card names', 'recursion']"
2881,2881,Reconnaissance,"['remove from combat', 'single english word name', 'synergy-attacker', 'untapper-creature', 'card names', 'untapper']"
2882,2882,Resuscitate,"['protects-creature', 'regenerates other', 'single english word name', 'card names', 'protects-permanent']"
2883,2883,Robe of Mirrors,"['gives shroud', 'protects-creature', 'protects-permanent']"
2884,2884,Rootwater Alligator,"['creature type erratum', 'free sacrifice outlet', 'regenerates self', 'sacrifice outlet-land', 'synergy-forest', 'sacrifice outlet']"
2885,2885,Rootwater Mystic,['creature type erratum']
2886,2886,Sabertooth Wyvern,"['french vanilla', 'flavors of vanilla']"
2887,2887,Scalding Salamander,"['alliteration', 'attack trigger', 'earthquake', 'sweeper-creature-burn', 'sweeper-one-sided', 'synergy-attacker-self', 'card names', 'sweeper', 'sweeper-creature']"
2888,2888,Scare Tactics,['power boost to all']
2889,2889,School of Piranha,"['drawback', 'upkeep cost']"
2890,2890,Scrivener,"['creature type erratum', 'cycle-exo-retriever', 'cycle-ody-retriever', 'regrowth-instant', 'single english word name', 'virtual vanilla', 'card advantage', 'card names', 'cycle', 'flavors of vanilla', 'recursion', 'recursion-instant', 'regrowth']"
2891,2891,Seismic Assault,"['burn any', 'discard outlet', 'discard outlet-land', 'pinger', 'burn']"
2892,2892,Shackles,"['bounceable aura', 'cycle-inv-selfbounce-aura', 'lockdown', 'lockdown-creature', 'removal-creature', 'single english word name', 'bounce-self', 'card names', 'cycle', 'removal']"
2893,2893,Shattering Pulse,"['removal-artifact-destroy', 'repeatable removal', 'removal', 'removal-artifact']"
2894,2894,Shield Mate,"['boost-toughness', 'creature type erratum', 'martyr', 'sacrifice self']"
2895,2895,Skyshaper,"['egg', 'gives flying', 'gives-evasion', 'sacrifice self']"
2896,2896,Skyshroud Elite,['hate-nonbasic-land']
2897,2897,Skyshroud War Beast,"['faux targeting', 'hate-nonbasic-land', 'maro-sorcerer', 'lands matter']"
2898,2898,Slaughter,"['exo-storyline-in-cards', 'life payment', 'removal-creature-destroy', 'repeatable removal', 'single english word name', 'card names', 'removal', 'removal-creature']"
2899,2899,Soltari Visionary,"['creature type erratum', 'evasion', 'removal-enchantment-destroy', 'saboteur', 'removal', 'removal-enchantment']"
2900,2900,Song of Serenity,"['alliteration', 'hate-aura', 'pacifism', 'prevent attack', 'prevent blocker', 'synergy-aura', 'card names', 'removal']"
2901,2901,Sonic Burst,"['burn any', 'discard outlet', 'discard outlet-random', 'burn']"
2902,2902,Soul Warden,"['commonly nicknamed', 'creature type erratum', 'soul warden ability', 'card names', 'creaturefall', 'lifegain']"
2903,2903,Spellbook,"['hand size increase', 'single english word name', 'card names']"
2904,2904,Spellshock,"['burn player', 'cast trigger', 'symmetrical', 'burn']"
2905,2905,Sphere of Resistance,"['cost increaser', 'prison', 'symmetrical']"
2906,2906,Spike Cannibal,"['gains pp counters', 'move counters', 'pp counters matter', 'virtual vanilla', 'counters matter', 'flavors of vanilla']"
2907,2907,Spike Hatcher,"['gains pp counters', 'gives pp counters', 'pp counters matter', 'regenerates self', 'counters matter']"
2908,2908,Spike Rogue,"['creature type name', 'gains pp counters', 'gives pp counters', 'pp counters matter', 'counters matter']"
2909,2909,Spike Weaver,"['fog', 'gains pp counters', 'gives pp counters', 'pp counters matter', 'counters matter']"
2910,2910,Standing Troops,"['creature type erratum', 'french vanilla', 'flavors of vanilla']"
2911,2911,Survival of the Fittest,"['discard outlet', 'discard outlet-creature', 'tutor-creature', 'tutor-to-hand', 'tutor', 'tutor-to']"
2912,2912,Thalakos Drifters,"['creature type erratum', 'discard outlet', 'gains shadow', 'unique type line', 'evasion']"
2913,2913,Thalakos Scout,"['bounce-self', 'creature type erratum', 'creature type name', 'discard outlet', 'evasion', 'unique type line']"
2914,2914,Thopter Squadron,"['creature type erratum', 'evasion', 'gains pp counters', 'noncreature tribal', 'pp counters matter', 'repeatable token generator', 'sacrifice outlet-creature', 'tribal-thopter', 'counters matter', 'sacrifice outlet', 'typal', 'typal-creature']"
2915,2915,Thrull Surgeon,"['discard', 'martyr', 'thoughtseize', 'hand disruption', 'sacrifice self']"
2916,2916,Transmogrifying Licid,"['artifactify', 'counts as a type', 'creature type erratum', 'special action', 'unique type line', 'type change']"
2917,2917,Treasure Hunter,"['creature type erratum', 'cycle-exo-retriever', 'regrowth-artifact', 'virtual vanilla', 'card advantage', 'cycle', 'flavors of vanilla', 'recursion', 'recursion-artifact', 'regrowth']"
2918,2918,Treasure Trove,"['alliteration', 'exo-storyline-in-cards', 'repeatable draw', 'card advantage', 'card names', 'draw']"
2919,2919,Vampire Hounds,"['creature type erratum', 'discard outlet', 'discard outlet-creature', 'unique type line']"
2920,2920,Volrath's Dungeon,"['any player ability', 'discard outlet', 'discard to library', 'namesake-spell', 'punisher', 'card names', 'dilemma']"
2921,2921,Wall of Nets,"['banish-creature', 'sweeper-creature-exile', 'synergy-blocker-self', 'banish', 'exile', 'removal', 'removal-creature', 'removal-creature-exile', 'sweeper', 'sweeper-creature']"
2922,2922,Wayward Soul,"['evasion', 'tuck-self', 'tuck']"
2923,2923,Welkin Hawk,"['death trigger-self', 'evasion', 'tutor-self', 'tutor-to-hand', 'tutored by name', 'death trigger', 'leaves battlefield trigger', 'tutor', 'tutor-to']"
2924,2924,Whiptongue Frog,"['gains flying', 'jump', 'evasion']"
2925,2925,Workhorse,"['creature type erratum', 'gains pp counters', 'pp counters matter', 'ramp', 'single english word name', 'card names', 'counters matter']"
2926,2926,Zealots en-Dal,"['creature type erratum', 'lifegain', 'synergy-white']"
2927,2927,Abyssal Nightstalker,"['discard', 'synergy-attacker-self', 'unblocked trigger']"
2928,2928,Alaborn Cavalier,"['attack trigger', 'creature type erratum', 'synergy-attacker-self', 'tapper-creature', 'tapper']"
2929,2929,Alaborn Grenadier,"['creature type erratum', 'french vanilla', 'flavors of vanilla']"
2930,2930,Alaborn Musketeer,"['creature type erratum', 'french vanilla', 'flavors of vanilla']"
2931,2931,Alaborn Trooper,['creature type erratum']
2932,2932,Alaborn Veteran,['creature type erratum']
2933,2933,Alaborn Zealot,"['block trigger', 'creature type erratum', 'old blocking deathtouch', 'removal-creature-destroy', 'synergy-blocker-self', 'deprecated mechanics', 'removal', 'removal-creature']"
2934,2934,Ancient Craving,"['draw', 'life payment', 'card advantage']"
2935,2935,Angelic Wall,"['drawback', 'evasion', 'french vanilla', 'flavors of vanilla']"
2936,2936,Angel of Fury,"['death trigger-self', 'evasion', 'restock-self', 'death trigger', 'leaves battlefield trigger', 'recursion', 'restock']"
2937,2937,Angel of Mercy,"['evasion', 'lifegain', 'virtual french vanilla', 'flavors of vanilla']"
2938,2938,Apprentice Sorcerer,"['burn any', 'creature type erratum', 'pinger', 'burn']"
2939,2939,Armored Galleon,"['creature type erratum', 'drawback', 'landhome', 'restricted attacker', 'deprecated mechanics']"
2940,2940,Armored Griffin,"['evasion', 'french vanilla', 'flavors of vanilla']"
2941,2941,Barbtooth Wurm,[]
2942,2942,Bargain,"['lifegain', 'selective group hug', 'single english word name', 'card names', 'group hug']"
2943,2943,Bear Cub,[]
2944,2944,Bloodcurdling Scream,['boost-power']
2945,2945,Brimstone Dragon,"['evasion', 'french vanilla', 'flavors of vanilla']"
2946,2946,Brutal Nightstalker,"['discard', 'virtual vanilla', 'flavors of vanilla']"
2947,2947,Chorus of Woe,['power boost to all']
2948,2948,Coastal Wizard,"['bounce', 'bounce-self', 'creature type erratum', 'removal-creature-bounce', 'removal', 'removal-creature']"
2949,2949,Cruel Edict,"['opponent chooses', 'removal-creature-sacrifice', 'removal', 'removal-creature']"
2950,2950,Cunning Giant,"['cunning', 'one-sided fight', 'synergy-attacker-self', 'burn', 'power matters', 'removal', 'removal-creature', 'removal-creature-burn']"
2951,2951,Dakmor Bat,"['evasion', 'french vanilla', 'flavors of vanilla']"
2952,2952,Dakmor Plague,"['burn player-each', 'sweeper-creature-burn', 'burn', 'burn player', 'sweeper', 'sweeper-creature']"
2953,2953,Dakmor Scorpion,[]
2954,2954,Dakmor Sorceress,"['creature type erratum', 'maro-sorcerer', 'synergy-swamp', 'virtual legendary', 'lands matter']"
2955,2955,Dark Offering,"['inscryption achievement', 'lifegain', 'removal-creature-destroy', 'removal', 'removal-creature']"
2956,2956,Deathcoil Wurm,['unstoppable']
2957,2957,Denizen of the Deep,"['alliteration', 'drawback', 'rescue-creature', 'virtual vanilla', 'bounce', 'card names', 'flavors of vanilla', 'rescue']"
2958,2958,Extinguish,"['counterspell with set mechanic', 'counterspell-sorcery', 'single english word name', 'blue effect', 'card names', 'counterspell']"
2959,2959,Eye Spy,"['fateseal', 'mill-any', 'rhyming name', 'surveil', 'card names', 'library manipulation', 'mill', 'mill-self', 'top deck manipulation']"
2960,2960,False Summoning,"['counterspell-creature', 'blue effect', 'counterspell']"
2961,2961,Festival of Trokin,"['creature count matters', 'lifegain']"
2962,2962,Foul Spirit,"['evasion', 'sacrifice outlet-land', 'virtual french vanilla', 'flavors of vanilla', 'sacrifice outlet']"
2963,2963,Goblin Cavaliers,[]
2964,2964,Goblin Firestarter,"['bombard-self', 'burn any', 'martyr', 'bombard', 'burn', 'sacrifice outlet', 'sacrifice self']"
2965,2965,Goblin General,"['alliteration', 'attack trigger', 'creature type erratum', 'synergy-attacker-self', 'tribal-goblin', 'card names', 'typal', 'typal-creature']"
2966,2966,Goblin Glider,"['alliteration', 'evasion', 'card names']"
2967,2967,Goblin Lore,"['discard outlet-random', 'draw', 'loot', 'blue effect', 'card advantage', 'discard outlet']"
2968,2968,Goblin Matron,"['noncreature tribal', 'tribal-goblin', 'tutor-creature-goblin', 'tutor-to-hand', 'virtual vanilla', 'flavors of vanilla', 'tutor', 'tutor-creature', 'tutor-to', 'typal', 'typal-creature']"
2969,2969,Goblin Mountaineer,"['creature type erratum', 'cycle-ala-common-1-drop', 'french vanilla walker', 'cycle', 'evasion', 'flavors of vanilla', 'french vanilla']"
2970,2970,Goblin Piker,['creature type erratum']
2971,2971,Goblin Raider,['creature type erratum']
