,Card,Tags
403,Dragon's Rage Channeler,"['card types in graveyard matter', 'cast trigger-you', 'forced attacker', 'gains flying', 'mix-and-match', 'surveil', 'synergy-noncreature', 'cards in graveyard matter', 'cast trigger', 'evasion', 'library manipulation', 'mill', 'mill-self', 'top deck manipulation']"
404,Dress Down,"['alliteration', 'cantrip', 'humble', 'punny name', 'card advantage', 'card names', 'draw']"
405,Flay Essence,"['counters matter', 'lifegain', 'removal-creature-exile', 'removal-planeswalker-exile', 'removal', 'removal-creature', 'removal-planeswalker']"
406,Goldmire Bridge,"['cycle-mh2-bridge', 'cycle', 'cycle-dual-land', 'cycle-land', 'tapland']"
407,Grief,"['cycle-mh2-incarnation', 'evasion', 'intervening if clause', 'single english word name', 'synergy-black', 'thoughtseize', 'virtual french vanilla', 'card names', 'cycle', 'flavors of vanilla', 'hand disruption', 'pitch spell']"
408,Junk Winder,"['freeze-nonland', 'synergy-token', 'tapper-nonland', 'freeze', 'tapper', 'tapper-artifact', 'tapper-creature', 'tapper-planeswalker']"
409,Kitchen Imp,"['evasion', 'french vanilla', 'flavors of vanilla']"
410,Lens Flare,"['affinity for artifacts', 'hate-attacker', 'hate-blocker', 'removal-creature-burn', 'affinity', 'burn', 'removal', 'removal-creature', 'synergy-artifact']"
411,Lucid Dreams,"['card types in graveyard matter', 'draw', 'card advantage', 'cards in graveyard matter']"
412,Mental Journey,"['activate from hand', 'cycle-mh2-basic-landcycler', 'draw', 'tutor-land-basic', 'tutor-to-hand', 'card advantage', 'cycle', 'tutor', 'tutor-land', 'tutor-to']"
413,Moderation,"['cast trigger-you', 'drawback', 'repeatable draw', 'rule of law', 'single english word name', 'card advantage', 'card names', 'cast trigger', 'draw', 'hate-storm']"
414,Necrogoyf,"['creatures in all graveyards matter', 'discard', 'discard outlet', 'lhurgoyf', 'synergy-mill', 'cards in graveyard matter']"
415,"Piru, the Volatile","['death trigger-self', 'evasion', 'lifegain', 'sweeper-creature-burn', 'synergy-legendary', 'unique mana cost', 'upkeep cost', 'death trigger', 'leaves battlefield trigger', 'sweeper', 'sweeper-creature']"
416,Prophetic Titan,"['burn any', 'card types in graveyard matter', 'cycle-mh2-draft-signpost', 'impact effect', 'impulse', 'modal', 'virtual vanilla', 'burn', 'card advantage', 'cards in graveyard matter', 'cycle', 'draft signpost', 'flavors of vanilla']"
417,Road // Ruin,"['alliteration', 'burn with set mechanic', 'cast-from-graveyard', 'cycle-mh2-draft-signpost', 'lands matter', 'punny name', 'ramp', 'removal-creature-burn', 'tutor-land-basic', 'tutor-land-to-battlefield', 'burn', 'card names', 'cycle', 'draft signpost', 'removal', 'removal-creature', 'tutor', 'tutor-land', 'tutor-to', 'tutor-to-battlefield']"
418,Scion of Draco,"['affinity for domain', 'evasion', 'gives first strike', 'gives hexproof', 'gives lifelink', 'gives trample', 'gives vigilance', 'namesake-spell', 'protects-creature', 'synergy-color-each', 'affinity', 'affinity for land type', 'card names', 'lands matter', 'lifegain', 'protects-permanent']"
419,Scurry Oak,"['creaturefall', 'gains pp counters', 'intervening if clause', 'power matters', 'pp counters matter', 'repeatable token generator', 'toughness matters', 'counters matter']"
420,Search the Premises,"['attack trigger', 'hate-attacker', 'repeatable draw', 'synergy-planeswalker', 'card advantage', 'draw']"
421,Skophos Reaver,['notags']
422,Slagwoods Bridge,"['cycle-mh2-bridge', 'cycle', 'cycle-dual-land', 'cycle-land', 'tapland']"
423,Solitude,"['cycle-mh2-incarnation', 'intervening if clause', 'lifegain', 'opponent lifegain', 'removal-creature-exile', 'single english word name', 'synergy-white', 'virtual french vanilla', 'card names', 'cycle', 'flavors of vanilla', 'pitch spell', 'removal', 'removal-creature']"
424,Step Through,"['activate from hand', 'noncreature tribal', 'removal-creature-bounce', 'tribal-wizard', 'tutor-creature-wizard', 'tutor-to-hand', 'removal', 'removal-creature', 'tutor', 'tutor-creature', 'tutor-to', 'typal', 'typal-creature']"
425,Storm God's Oracle,"['burn any', 'cycle-mh2-common-multicolor', 'death trigger-self', 'flowstone', 'burn', 'cycle', 'death trigger', 'leaves battlefield trigger']"
426,Sudden Edict,"['hate-counterspell', 'removal-creature-sacrifice', 'removal', 'removal-creature']"
427,Tanglepool Bridge,"['cycle-mh2-bridge', 'cycle', 'cycle-dual-land', 'cycle-land', 'tapland']"
428,Thought Monitor,"['affinity for artifacts', 'draw', 'evasion', 'virtual french vanilla', 'affinity', 'card advantage', 'flavors of vanilla', 'synergy-artifact']"
429,Timeless Witness,"['activate from graveyard', 'out of color token', 'punny name', 'regrowth', 'virtual vanilla', 'card advantage', 'card names', 'flavors of vanilla', 'recursion']"
430,Tireless Provisioner,"['landfall', 'lifegain', 'ramp', 'lands matter']"
431,Unbounded Potential,"['gives pp counters', 'mix-and-match', 'modal']"
432,Unholy Heat,"['burn with set mechanic', 'card types in graveyard matter', 'removal-creature-burn', 'removal-planeswalker-burn', 'burn', 'cards in graveyard matter', 'removal', 'removal-creature', 'removal-planeswalker']"
433,"Yavimaya, Cradle of Growth","['land conversion', 'mana fix', 'symmetrical', 'universal type change', 'type change']"
434,Acererak the Archlich,"['alliteration', 'attack trigger', 'bounce-self', 'dnd monster', 'multiplayer', 'punisher', 'removal-creature-sacrifice', 'repeatable token generator', 'synergy-attacker-self', 'synergy-dungeon', 'card names', 'dilemma', 'dnd', 'removal', 'removal-creature']"
435,Bar the Gate,"['counterspell with set mechanic', 'counterspell-creature', 'counterspell-planeswalker', 'blue effect', 'counterspell']"
436,Blink Dog,"['dnd monster', 'phasing', 'dnd']"
437,Bruenor Battlehammer,"['alliteration', 'armament ability', 'cost-reducer-equip-ability', 'cycle-afr-uncommon-legend', 'dnd character', 'card names', 'cost reducer', 'cost-reducer-activated-ability', 'cycle', 'dnd', 'draft signpost', 'synergy-equipment']"
438,Bulette,"['dnd monster', 'gains pp counters', 'morbid', 'dnd']"
439,Critical Hit,"['dice roll', 'dnd mechanic', 'gives double strike', 'regrowth-self', 'synergy-dice', 'trigger from graveyard', 'card advantage', 'dnd', 'recursion', 'regrowth']"
440,"Delina, Wild Mage","['attack trigger', 'copy-creature', 'copy-legendary', 'day zero errata', 'dnd character', 'roll d20', 'synergy-attacker-self', 'temporary token', 'copy', 'dice roll', 'dnd']"
441,Dire Wolf Prowler,['gains haste']
442,Drider,"['dnd monster', 'repeatable token generator', 'saboteur', 'unique type line', 'dnd']"
443,Ellywick Tumblestrum,"['cycle-afr-planeswalker', 'eponymous planeswalker', 'gives haste', 'impulse-creature', 'lifegain', 'overrun', 'synergy-dungeon', 'synergy-legendary', 'unique type line', 'card advantage', 'cycle', 'gives trample', 'impulse', 'power boost to all']"
444,Hulking Bugbear,"['french vanilla', 'flavors of vanilla']"
445,Loathsome Troll,"['activate from graveyard', 'reanimate-self', 'regrowth-self', 'restock-self', 'roll d20', 'card advantage', 'dice roll', 'reanimate', 'recursion', 'regrowth', 'restock']"
446,"Lolth, Spider Queen","['cycle-afr-planeswalker', 'death trigger', 'dnd character', 'life payment', 'opponent loses life', 'passive ability', 'repeatable draw', 'repeatable token generator', 'requires notation', 'saboteur', 'card advantage', 'cycle', 'dnd', 'draw', 'leaves battlefield trigger']"
447,Long Rest,"['dnd mechanic', 'high x matters', 'regrowth', 'set life total', 'card advantage', 'dnd', 'recursion']"
448,Ochre Jelly,"['copy-self', 'death trigger-self', 'dnd monster', 'gains pp counters', 'pp counters matter', 'splits on death', 'copy', 'counters matter', 'death trigger', 'dnd', 'leaves battlefield trigger']"
449,Owlbear,"['cantrip', 'dnd monster', 'virtual french vanilla', 'card advantage', 'dnd', 'draw', 'flavors of vanilla']"
450,Tiamat,"['dnd monster', 'evasion', 'intervening if clause', 'noncreature tribal', 'tribal-dragon', 'tutor-creature-dragon', 'tutor-to-hand', 'unique type line', 'virtual french vanilla', 'dnd', 'flavors of vanilla', 'tutor', 'tutor-creature', 'tutor-to', 'typal', 'typal-creature']"
451,Gavony Trapper,"['tapper-creature', 'tapper']"
452,Snarling Wolf,['notags']
453,Winterthorn Blessing,"['cast-from-graveyard', 'cycle-mid-uncommon-flashback', 'freeze-creature', 'gives pp counters', 'tapper-creature', 'cycle', 'freeze', 'tapper']"
454,Boarded Window,['notags']
455,Olivia's Attendants,"['burn any', 'evasion', 'mana sink', 'namesake-spell', 'pinger', 'repeatable removal', 'rummage', 'tokenlink', 'burn', 'card advantage', 'card names', 'discard outlet', 'red effect', 'removal']"
456,Stitched Assistant,"['cantrip', 'sacrifice outlet-creature', 'virtual vanilla', 'card advantage', 'draw', 'flavors of vanilla', 'sacrifice outlet']"
457,Twinblade Geist // Twinblade Invocation,"['cast-from-graveyard', 'gives double strike']"
458,Myojin of Roaring Blades,"['burn any', 'commander set booster cards', 'cycle-nec-myojin', 'gains indestructible', 'indestructible counter', 'burn', 'cycle', 'keyword counter']"
459,Unquenchable Fury,['notags']
460,Akki War Paint,['notags']
461,Bearer of Memory,"['gives pp counters', 'gives trample', 'mana sink', 'synergy-enchantment-creature']"
462,Enormous Energy Blade,"['alliteration', 'boost-power', 'card names']"
463,"Henzie ""Toolbox"" Torre",-- FAILED --
464,Baldur's Gate,['notags']
465,Lurking Green Dragon,"['evasion', 'hate-flying', 'restricted attacker']"
466,Marut,"['dnd monster', 'refund', 'synergy-treasure', 'virtual french vanilla', 'dnd', 'flavors of vanilla']"
467,"Minsc & Boo, Timeless Heroes",-- FAILED --
468,Mocking Doppelganger,"['clone', 'force attacker', 'name matters', 'combat manipulation', 'copy', 'copy-creature']"
469,Nautiloid Ship,"['animate self', 'evasion', 'reanimate-creature', 'reanimate-from-any', 'saboteur', 'sweeper-graveyard', 'tap fuel-creature', 'animate', 'hate-graveyard', 'reanimate', 'reanimate-from-opponent', 'recursion', 'recursion-creature', 'type change']"
470,Navigation Orb,"['dnd item', 'egg', 'ramp', 'synergy-gate', 'tutor-land-basic', 'tutor-land-gate', 'tutor-land-to-battlefield', 'tutor-to-hand', 'dnd', 'sacrifice self', 'tutor', 'tutor-land', 'tutor-to', 'tutor-to-battlefield']"
471,"Neera, Wild Mage","['cast trigger-you', 'consult-cast', 'day zero errata', 'dnd character', 'free-cast-another', 'multiple race types', 'card advantage', 'cast trigger', 'consult', 'dnd']"
472,Nefarious Imp,"['evasion', 'leaves battlefield trigger', 'top deck manipulation', 'library manipulation']"
473,Nimblewright Schematic,"['death trigger-self', 'death trigger', 'leaves battlefield trigger']"
474,Nine-Fingers Keene,"['cycle-clb-tricolor-legend', 'dnd character', 'evasion', 'extra land', 'impulse-onto-battlefield', 'lands matter', 'saboteur', 'synergy-gate', 'card advantage', 'cycle', 'dnd', 'impulse', 'impulse-to-zone', 'ramp']"
475,Nothic,"['cycle-clb-uncommon-d20', 'death trigger-self', 'dnd monster', 'draw', 'life payment', 'roll d20', 'card advantage', 'cycle', 'death trigger', 'dice roll', 'dnd', 'leaves battlefield trigger']"
476,"Oji, the Exquisite Blade","['cast trigger-you', 'cycle-clb-draft-signpost', 'cycle-clb-uncommon-legend', 'cycle-hbg-draft-signpost', 'flicker-creature', 'lifegain', 'protects-creature', 'second spell matters', 'top deck manipulation', 'cast trigger', 'cycle', 'draft signpost', 'flicker', 'library manipulation', 'protects-permanent']"
477,Evolved Sleeper,"['deathtouch counter', 'gains deathtouch', 'gains pp counters', 'life payment', 'mana sink', 'pseudo-leveler', 'repeatable draw', 'shapechange', 'type change', 'untracked indefinite effect', 'card advantage', 'draw', 'indefinite effect', 'keyword counter']"
478,Nishoba Brawler,['notags']
479,Territorial Maro,['notags']
480,Mass Production,['notags']
481,Warlord's Elite,['notags']
482,Tranquil Frillback,"['disenchant/naturalize', 'lifegain', 'pseudo-kicker', 'reflexive trigger', 'removal-artifact-destroy', 'removal-enchantment-destroy', 'sweeper-graveyard', 'virtual vanilla', 'flavors of vanilla', 'hate-graveyard', 'removal', 'removal-artifact', 'removal-enchantment']"
483,Haradrim Spearmaster,['notags']
484,Hew the Entwood,"['extra land', 'impulse-artifact', 'impulse-land', 'impulse-onto-battlefield', 'sacrifice outlet-land', 'card advantage', 'impulse', 'impulse-to-zone', 'ramp', 'sacrifice outlet']"
485,King of the Oathbreakers,"['evasion', 'hate-target', 'noncreature tribal', 'phasing', 'protects-creature', 'repeatable token generator', 'tribal-spirit', 'protects-permanent', 'typal', 'typal-creature']"
486,Swarming of Moria,"['out of color token', 'ramp', 'refund', 'tribal-army', 'typal', 'typal-creature']"
487,Hylda's Crown of Winter,"['draw', 'hate-tapped', 'namesake-spell', 'sacrifice self', 'tapper-creature', 'card advantage', 'card names', 'tapper']"
488,Auspicious Arrival,"['alliteration', 'draw', 'giant growth with set mechanic', 'card advantage', 'card names', 'combat trick', 'enlarge', 'giant growth']"
489,Vein Ripper,"['blood artist ability', 'evasion', 'opponent loses life', 'removal-creature-sacrifice', 'rhystic', 'death trigger', 'dilemma', 'drain life', 'inverted effects', 'leaves battlefield trigger', 'lifegain', 'removal', 'removal-creature']"
490,Dimir Strandcatcher,"['attack trigger', 'discard matters', 'evasion', 'intervening if clause', 'multiplayer', 'repeatable draw', 'surveil', 'synergy-attacker', 'synergy-mill', 'card advantage', 'draw', 'library manipulation', 'mill', 'mill-self', 'top deck manipulation']"
491,Sumala Rumblers,"['attack trigger', 'copy-self', 'delayed triggered ability', 'multiplayer', 'synergy-attacker-self', 'temporary token', 'warlord', 'copy', 'creature count matters']"
492,Vault 101: Birthday Party,"['lifegain', 'quick equip', 'reanimate-aura', 'reanimate-equipment', 'sneak-aura', 'sneak-equipment', 'quick attach', 'reanimate', 'recursion']"
493,Vault 112: Sadistic Simulation,"['alliteration', 'energy generator', 'free-cast-another', 'freeze-creature', 'tapper-creature', 'card names', 'freeze', 'tapper']"
494,Vault 11: Voter's Dilemma,"['alliteration', 'draw', 'removal-creature-destroy', 'secretly choose', 'voting', 'card advantage', 'card names', 'removal', 'removal-creature']"
495,Vault 12: The Necropolis,"['gives pp counters', 'mill-each', 'tribal coupling', 'tribal-mutant', 'tribal-zombie', 'mill', 'mill-self', 'typal', 'typal-creature']"
496,Vault 13: Dweller's Journey,"['flicker-creature', 'flicker-enchantment', 'flicker-slow', 'lifegain', 'removal-creature-tuck', 'removal-enchantment-tuck', 'top deck manipulation', 'flicker', 'library manipulation', 'removal', 'removal-creature', 'tuck']"
497,Vault 21: House Gambit,"['ramp', 'rummage', 'card advantage', 'discard outlet', 'red effect']"
498,Vault 75: Middle School,"['gives pp counters', 'hate-fattie', 'power boost to all', 'sweeper-creature-exile', 'exile', 'sweeper', 'sweeper-creature']"
499,Vault 87: Forced Evolution,"['draw', 'gives pp counters', 'power matters', 'theft-creature', 'tribal-mutant', 'type change', 'unique-type-exclusion', 'card advantage', 'control changing effects', 'theft', 'typal', 'typal-creature']"
500,"Loot, the Key to Everything","['impulsive draw', 'rhystic', 'dilemma', 'red effect']"
501,Lotus Ring,"['adds multiple mana', 'gives vigilance', 'ramp', 'sacrifice outlet-creature', 'sacrifice outlet']"
502,"Ertha Jo, Frontier Mentor","['copy-ability', 'cycle-otj-draft-signpost', 'cycle-otj-uncommon-legend', 'synergy-activated-ability', 'unique type line', 'copy', 'cycle', 'draft signpost']"
503,"Lazav, Familiar Stranger","['copy-creature', 'cycle-otj-draft-signpost', 'cycle-otj-uncommon-legend', 'gains pp counters', 'graveyard fuel-creature', 'hate-graveyard', 'synergy-crime', 'copy', 'cycle', 'draft signpost', 'graveyard fuel']"
504,Loan Shark,"['cantrip', 'intervening if clause', 'punny name', 'second spell matters', 'unique type line', 'virtual vanilla', 'card advantage', 'card names', 'draw', 'flavors of vanilla']"
505,Metamorphic Blast,"['color change', 'combat trick', 'draw', 'humble', 'spree', 'type change', 'card advantage', 'modal']"
506,Ruthless Lawbringer,"['cycle-otj-draft-signpost', 'reflexive trigger', 'removal-nonland-destroy', 'sacrifice outlet-creature', 'virtual vanilla', 'cycle', 'draft signpost', 'flavors of vanilla', 'removal', 'removal-artifact', 'removal-creature', 'removal-enchantment', 'removal-nonland', 'removal-planeswalker', 'sacrifice outlet']"
507,"Arna Kennerüd, Skycaptain","['attack trigger', 'copy-aura', 'copy-equipment', 'counter doubler', 'evasion', 'exponential', 'lifegain', 'synergy-attacker', 'synergy-modified', 'copy', 'counter increaser', 'counters matter', 'synergy-aura', 'synergy-equipment']"
508,"Ral, Monsoon Mage // Ral, Leyline Prodigy","['alliteration', 'burn any', 'burn player', 'cast trigger-you', 'coin flip', 'cost-reducer-instant-sorcery', 'cycle-mh3-flip-walker', 'draw', 'flicker-self', 'free-cast-another', 'impulsive draw', 'passive ability', 'removal-battle-burn', 'removal-creature-burn', 'removal-planeswalker-burn', 'storm count matters', 'synergy-blue', 'synergy-instant', 'synergy-sorcery', 'burn', 'card advantage', 'card names', 'cast trigger', 'cost reducer', 'cost-reducer-instant', 'cost-reducer-sorcery', 'cycle', 'flicker', 'red effect', 'removal', 'removal-battle', 'removal-creature', 'removal-planeswalker']"
509,Thriving Skyclaw,"['attack trigger', 'energy generator', 'evasion', 'gains pp counters', 'synergy-attacker-self']"
510,Layla Hassan,"['regrowth-historic', 'saboteur', 'tribal-assassin', 'card advantage', 'recursion', 'recursion-artifact', 'regrowth', 'regrowth-artifact', 'regrowth-legendary', 'regrowth-saga', 'synergy-artifact', 'synergy-historic', 'synergy-legendary', 'synergy-saga', 'typal', 'typal-creature']"
511,"Shaun & Rebecca, Agents",-- FAILED --
512,Shay Cormac,"['aesthetic counter', 'death trigger', 'gains pp counters', 'removes hexproof', 'removes indestructible', 'removes protection', 'removes shroud', 'removes ward', 'leaves battlefield trigger']"
513,"Sokrates, Athenian Teacher","['damage prevention-player', 'drawback', 'fun ruling', 'gains hexproof', 'repeatable draw', 'selective group hug', 'card advantage', 'draw', 'group hug']"
514,Hop to It,"['punny name', 'card names']"
515,Jolly Gerbils,"['repeatable draw', 'synergy-gift', 'unique creature type', 'card advantage', 'draw', 'unique type line']"
516,Junkblade Bruiser,"['cycle-blb-hybrid', 'cycle']"
517,"Kastral, the Windcrested","['evasion', 'gives pp counters', 'modal', 'power boost to all', 'reanimate-creature', 'repeatable draw', 'saboteur', 'sneak-creature', 'tribal-bird', 'card advantage', 'draw', 'reanimate', 'recursion', 'recursion-creature', 'typal', 'typal-creature']"
518,Keen-Eyed Curator,"['gains trample', 'graveyard fuel', 'hate-graveyard']"
519,Kindlespark Duo,"['burn player', 'cast trigger-you', 'cycle-blb-duo', 'multiple race types', 'pinger', 'synergy-noncreature', 'unique type line', 'untaps self', 'burn', 'cast trigger', 'cycle']"
520,Season of Gathering,"['cycle-blb-season', 'draw', 'gives pp counters', 'gives trample', 'gives vigilance', 'modal', 'power matters', 'sweeper-artifact-destroy', 'sweeper-enchantment-destroy', 'card advantage', 'cycle', 'sweeper', 'sweeper-artifact', 'sweeper-enchantment']"
521,Season of Loss,"['cycle-blb-season', 'draw', 'modal', 'morbid', 'opponent loses life', 'removal-creature-sacrifice', 'requires notation', 'sacrifice outlet-creature', 'symmetrical', 'undergrowth', 'card advantage', 'cards in graveyard matter', 'cycle', 'removal', 'removal-creature', 'sacrifice outlet']"
522,Season of the Bold,"['cast trigger-you', 'cycle-blb-season', 'delayed triggered ability', 'impulsive draw', 'modal', 'ramp', 'removal-creature-burn', 'burn', 'cast trigger', 'cycle', 'red effect', 'removal', 'removal-creature']"
523,Season of the Burrow,"['cycle-blb-season', 'gives indestructible', 'indestructible counter', 'mana value matters', 'modal', 'reanimate-permanent', 'removal-nonland-exile', 'swap removal', 'cycle', 'keyword counter', 'reanimate', 'reanimate-artifact', 'reanimate-creature', 'reanimate-enchantment', 'reanimate-land', 'reanimate-planeswalker', 'recursion', 'recursion-artifact', 'recursion-creature', 'recursion-enchantment', 'recursion-land', 'recursion-permanent', 'recursion-planeswalker', 'removal', 'removal-artifact', 'removal-creature', 'removal-enchantment', 'removal-nonland', 'removal-planeswalker']"
524,Season of Weaving,"['copy-artifact', 'copy-creature', 'cycle-blb-season', 'draw', 'faux targeting', 'modal', 'sweeper-nonland-bounce', 'synergy-token', 'card advantage', 'copy', 'cycle', 'sweeper', 'sweeper-artifact', 'sweeper-creature', 'sweeper-enchantment', 'sweeper-nonland', 'sweeper-planeswalker']"
